Time,Average,Washington Post, Daily Mail, Fox News,The Guardian, New York Times
154,0.001003469,0.00143975,0.00055394,0.000706215,0.000764965,0.000453309
155,0.001089481,0.001502347,0.00055394,0.00094162,0.001147447,0
156,0.000745434,0.001189358,0.000138485,0.000706215,0.000573723,0
157,0.000888787,0.001251956,0.000138485,0.002118644,0.000191241,0
158,0.000860116,0.00143975,0,0.000706215,0.000764965,0
159,0.000946128,0.001189358,0,0.001883239,0.000956206,0.000453309
160,0.000917457,0.00143975,0.00027697,0,0.001147447,0.000453309
161,0.000688093,0.000938967,0.00027697,0.000706215,0.000573723,0.000453309
162,0.000888787,0.001251956,0.000138485,0.00094162,0.001147447,0
163,0.000860116,0.001251956,0.000138485,0.00094162,0.000764965,0.000453309
164,0.001146822,0.001502347,0.00027697,0.001647834,0.001338688,0
165,0.000974799,0.001627543,0.00027697,0.00047081,0.000764965,0
166,0.000974799,0.001627543,0,0.00094162,0.000573723,0.000453309
167,0.001490868,0.002503912,0.000138485,0.001412429,0.000956206,0
168,0.001261504,0.001877934,0.00055394,0.001177024,0.000956206,0
169,0.000917457,0.00143975,0.000138485,0.001177024,0.000573723,0
170,0.000974799,0.00143975,0.000138485,0.001177024,0.000764965,0.000453309
171,0.00106081,0.001377152,0.000415455,0.001177024,0.000956206,0.000906618
172,0.000946128,0.001564945,0,0.001647834,0,0.000453309
173,0.000946128,0.00143975,0,0.000706215,0.000956206,0.000906618
174,0.000946128,0.001251956,0.00027697,0.001412429,0.000382482,0.001359927
175,0.000946128,0.001314554,0.000138485,0.001412429,0.000764965,0.000453309
176,0.001204163,0.001314554,0.00055394,0.002589454,0.000764965,0.000906618
177,0.000802775,0.001189358,0.000415455,0.001412429,0,0
178,0.000774105,0.001126761,0.000415455,0.00094162,0.000191241,0.000453309
179,0.000573411,0.000625978,0.000138485,0.00094162,0.000764965,0.000453309
180,0.000659423,0.000688576,0.00027697,0.001412429,0.000764965,0
181,0.000946128,0.001189358,0.00055394,0.000706215,0.001338688,0
182,0.000458729,0.000688576,0,0.00047081,0.000382482,0.000453309
183,0.00054474,0.000876369,0,0.00047081,0.000573723,0
184,0.000573411,0.000625978,0,0.001412429,0.000764965,0
185,0.000630752,0.000751174,0.000138485,0.001412429,0.000382482,0.000453309
186,0.000659423,0.000813772,0.000138485,0.001647834,0.000382482,0
187,0.000602081,0.000751174,0.000138485,0.00094162,0.000764965,0
188,0.000860116,0.001064163,0,0.001883239,0.000573723,0.000906618
189,0.000659423,0.000813772,0.000138485,0.001412429,0.000573723,0
190,0.000745434,0.001126761,0.000138485,0.00047081,0.000573723,0.000906618
191,0.000630752,0.001001565,0.000138485,0.000706215,0.000382482,0
192,0.000888787,0.001189358,0.000138485,0.00094162,0.001147447,0.000453309
193,0.000602081,0.000813772,0.000138485,0.001177024,0.000382482,0
194,0.000745434,0.000813772,0.00027697,0.001883239,0.000573723,0
195,0.000917457,0.001251956,0,0.002118644,0.000382482,0.000453309
196,0.000659423,0.000876369,0.00027697,0.001177024,0.000382482,0
197,0.000716764,0.001001565,0.00027697,0.001177024,0.000382482,0
198,0.000573411,0.000625978,0.000138485,0.00094162,0.000764965,0.000453309
